name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
hornsea,2024-02-29T00:00:00,10.8,10.8,9.2,89.82,0.312,100,rain,0,0,37.4,24.7,202,1002.2,100,6,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T01:00:00,10.9,10.9,9.1,88.97,0.351,100,rain,0,0,33.4,22.4,210,1002,100,18.2,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T02:00:00,10.7,10.7,9.1,89.92,0.088,100,rain,0,0,33.8,23,212,1001.9,100,13.3,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T03:00:00,10.1,10.1,9.1,93.55,0,0,,0,0,24.9,15.7,213,1001.2,100,23.2,0,0,0,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T04:00:00,9.9,7.7,8.9,93.24,0.019,100,rain,0,0,22.8,16.4,230,1001.1,100,4,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T05:00:00,9.1,7.3,8.2,93.81,0,0,,0,0,18.5,11.4,202,1000.3,94,24.8,0,0,0,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T06:00:00,9.7,7.5,8,89.29,0.225,100,rain,0,0,25.4,15.5,238,1001.1,100,21.5,0,0,0,,"Rain, Overcast",rain,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T07:00:00,8.8,6.5,6.1,83.03,0,0,,0,0,23.9,15.2,248,1001.3,94,14.9,0,0,0,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T08:00:00,8.7,7.1,5.8,82.1,0,0,,0,0,15.7,9.9,238,1001.3,100,14.3,77,0.3,1,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T09:00:00,8.8,6.6,5.2,78.19,0,0,,0,0,19.4,13.5,238,1002,100,14.9,76,0.3,1,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T10:00:00,8.8,6.5,4.9,76.39,0,0,,0,0,24.5,14.9,258,1001.4,100,14.9,121,0.4,1,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T11:00:00,8.8,6.4,4,71.97,0,0,,0,0,25.4,15.2,258,1001.3,100,14.9,197,0.7,2,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T12:00:00,8.9,6.7,4,71.28,0,0,,0,0,23,13.5,251,1001.3,56.6,13.6,144,0.5,1,,Partially cloudy,partly-cloudy-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T13:00:00,8.9,6.8,3,66.34,0,0,,0,0,24.8,13.8,258,1001.1,62,15.6,148,0.5,1,,Partially cloudy,partly-cloudy-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T14:00:00,9,7.2,3.1,66.62,0,0,,0,0,17.6,11.3,248,1000.2,44.3,15.3,93,0.3,1,,Partially cloudy,partly-cloudy-day,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T15:00:00,8.8,7.3,2.2,63.21,0,0,,0,0,16.7,9.5,260,1000,91.3,16.6,63,0.2,1,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T16:00:00,8.1,7.3,2.9,70.06,0,0,,0,0,12.7,6,248,999.4,100,15.9,32,0.1,0,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T17:00:00,7.9,6.7,3,70.84,0,0,,0,0,11.5,7.7,212,999.3,100,16.6,19,0.1,0,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T18:00:00,7,6.4,2.6,73.6,0,0,,0,0,8.7,4.9,177,999.2,91.3,16.6,0,0,0,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T19:00:00,6.9,6.3,3.2,77.35,0,0,,0,0,10.1,4.9,186,999.2,100,15.6,0,0,0,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T20:00:00,6.2,5,3,79.99,0,0,,0,0,10.9,6.5,194,999,39.8,14.6,0,0,0,,Partially cloudy,partly-cloudy-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T21:00:00,6.1,4.9,3.1,81.08,0,0,,0,0,13.8,6.4,210,998.2,94,15.6,0,0,0,,Overcast,cloudy,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T22:00:00,5.9,4.2,3.1,81.95,0,0,,0,0,14,8.2,193,998,62,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-02-29T23:00:00,5.9,3.9,3,81.81,0,0,,0,0,13.5,9.3,211,997.3,59.3,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-03-01T00:00:00,5,3,2.2,81.98,0,0,,0,0,11.8,8.8,205,997.1,30.5,14,0,0,0,,Partially cloudy,partly-cloudy-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-03-01T01:00:00,5,3.5,2.2,82.47,0,0,,0,0,14.4,6.7,196,997,36.3,13.6,0,0,0,,Partially cloudy,partly-cloudy-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-03-01T02:00:00,4.9,2.6,2.8,86.69,0,0,,0,0,15.5,9.6,196,996.2,31.3,12.6,0,0,0,,Partially cloudy,partly-cloudy-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
hornsea,2024-03-01T03:00:00,4.2,1.5,2.3,87.47,0,0,,0,0,21.9,10.8,174,995.3,59.3,13.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03292099999,EGXV,D8791,03384099999,03382099999,03281099999"
